process,n_tests,median_abs_g,max_abs_g,median_g,min_q,significant_tests
activation,23,0.4453427394683702,1.624331956746197,0.19599033170643004,0.7392857142857142,0
activity,23,0.4849327306050031,2.94068626985251,0.14629013090742743,0.5914285714285714,0
differentiation,23,0.6424673005754491,1.722778058306513,0.44778646296698715,0.5914285714285714,0
energy,23,0.6596190108935389,3.16662272370898,0.6596190108935389,0.5914285714285714,0
integration,23,0.7739414843693737,3.0150072057486264,-0.5398149969004199,0.5914285714285714,0
maturation,23,0.48767421760552554,1.794146121769068,-0.15430054668759513,0.5914285714285714,0
niche,23,0.5806653171835926,2.1799698892932935,0.5725709653618376,0.5914285714285714,0
proliferation,23,0.34882597502730406,2.045479489847974,0.09356323451430519,0.5914285714285714,0
survival,23,0.3459100675070645,1.3114386232678539,-0.012833915832026734,0.5914285714285714,0
