replicates,pearson,spearman,robust_mismatch_fraction,replicate_mismatch_fraction,mean_mismatch_probability
4,0.7790895034160459,0.7017466330177804,0.0,0.0404052734375,0.13232421875000003
8,0.7887919847811823,0.6912829128589038,0.00048828125,0.04034423828125,0.09141710069444446
12,0.795472176144632,0.6923988181992351,0.00146484375,0.039794921875,0.0751953125
16,0.7852324529440272,0.6899310142432088,0.00048828125,0.040130615234375,0.06718175551470587
