channel,outcome,mean,median,q025,q975,positive_fraction
activation,delta_extent,3.9817724491778193,2.9817789342991645,-1.3282692538405088,14.473093082610317,0.853515625
activation,delta_fni,1.1453984873441365,0.7890053310077899,-0.49692959967854783,4.90191839337879,0.853515625
efficacy,delta_extent,0.0,0.0,0.0,0.0,0.0
efficacy,delta_fni,2.8661249291378716,1.9644643900341834,-4.528429540683077,14.85249259273809,0.673828125
integration,delta_extent,0.6196773674952788,0.35846149920725656,-1.1451859304616052,3.6129388060071217,0.6953125
integration,delta_fni,1.7272298152919432,1.225616106079868,-2.61296732541824,9.392545809496259,0.6953125
maturation,delta_extent,4.597715314186856,3.355507336959046,-3.089168382036765,19.150904007755287,0.794921875
maturation,delta_fni,1.7094892400578778,1.1407288795827402,-1.113238894842022,8.035367268230118,0.794921875
proliferation,delta_extent,15.682584572205563,8.174352024763344,-3.982583122360414,76.91657330371275,0.8359375
proliferation,delta_fni,4.321341832078839,2.1903750889458644,-1.1849651223819884,20.850494648501606,0.8359375
survival,delta_extent,5.354227007024285,4.756628035283708,-1.4189297589610261,15.846945076469249,0.87109375
survival,delta_fni,1.9068540094365445,1.592986321971062,-0.5340970516658184,6.320783849949989,0.87109375
