channel_a,channel_b,outcome,mean,median,q025,q975
activation,efficacy,delta_extent,0.0,0.0,0.0,0.0
activation,efficacy,delta_fni,0.08633938663064947,0.015957450685252783,-0.20640291004082625,0.6572620037135875
activation,integration,delta_extent,0.01712155513557784,0.0030163191983269694,-0.04235701757144703,0.15291692092427298
activation,integration,delta_fni,0.05646817405417792,0.015700809116628772,-0.12564813960597837,0.4389160416183085
activation,maturation,delta_extent,0.22630457781433538,0.093050379499104,-0.20945198701140538,1.2313731380307307
activation,maturation,delta_fni,0.06586923197454538,0.02427912050769973,-0.057352294581674276,0.4153520147112423
activation,proliferation,delta_extent,0.8549389653370358,0.25348281379853965,-0.3690002311420425,4.379292817757207
activation,proliferation,delta_fni,0.19073240843098535,0.06252903660731413,-0.08544812428823008,1.1159902236157777
activation,survival,delta_extent,0.1990219846239272,0.09699800416717608,-0.0836550215324305,0.9711188302421296
activation,survival,delta_fni,0.05010075914757226,0.022291354277406583,-0.025603048978969412,0.26273050448505286
efficacy,survival,delta_extent,0.0,0.0,0.0,0.0
efficacy,survival,delta_fni,0.1401535008179398,0.0316094804174849,-0.2861480630095043,0.9313274519073284
integration,efficacy,delta_extent,0.0,0.0,0.0,0.0
integration,efficacy,delta_fni,0.14839305229475253,0.02758256975689488,-0.4598942433447292,1.53187702307763
integration,survival,delta_extent,-0.026483624310653497,-0.004003461160198896,-0.20899959847089272,0.07264883561547447
integration,survival,delta_fni,0.06491995813378973,0.014850457239692264,-0.14044008136074537,0.48260870324655064
maturation,efficacy,delta_extent,0.0,0.0,0.0,0.0
maturation,efficacy,delta_fni,0.13453946926091462,0.025473184255304204,-0.3304568624329896,1.110596502887662
maturation,integration,delta_extent,0.02795838143309619,0.005601976883120585,-0.09361592042255307,0.2375058868811506
maturation,integration,delta_fni,0.07392290837362032,0.01628542834745872,-0.20030673174178393,0.662608897326757
maturation,survival,delta_extent,0.11427858072163742,0.036357095182850685,-0.14459176630729792,0.7655633372094068
maturation,survival,delta_fni,0.04568926047168263,0.01621743655591934,-0.056123207448836164,0.2979452714377997
proliferation,efficacy,delta_extent,0.0,0.0,0.0,0.0
proliferation,efficacy,delta_fni,0.3692922615983931,0.06549830943268375,-0.6210771790870926,3.308968531234832
proliferation,integration,delta_extent,0.07188509042374339,0.008740739250754075,-0.1549825803466041,0.643945858961571
proliferation,integration,delta_fni,0.23801955129955812,0.041933269245356564,-0.5840275805799736,2.174456461321064
proliferation,maturation,delta_extent,1.0435235234102544,0.21273988183449433,-0.752259546271159,6.9501678339544055
proliferation,maturation,delta_fni,0.28881238695946776,0.06313429056096356,-0.20201070066575727,2.2267843817904143
proliferation,survival,delta_extent,0.754641801252994,0.26188416750910903,-0.3508740533421256,4.087000331903239
proliferation,survival,delta_fni,0.18257778691065216,0.06975806481666069,-0.08876198495968764,1.096976485822947
