dataset,contrast,split,first_half_g,second_half_g
GSE309750,MC,54,2.0669827402608725,2.6143914409537987
GSE309750,MC,55,1.7352774761319476,2.917677550928704
GSE309750,MC,56,1.635216988994547,3.127736214893687
GSE309750,MC,57,1.8400782410830288,2.4713493574571492
GSE309750,MC,58,1.7259105984244814,2.4008733567617346
GSE309750,MC,59,1.9611447008651595,2.765692238584047
GSE309750,MC,60,2.5216977627748043,1.8254650209283858
GSE309750,MC,61,2.5981079645809944,1.5656455774434381
GSE309750,MC,62,2.225205857105481,2.0288231815220157
GSE309750,MC,63,1.7846454469630844,2.2574336514910596
GSE309750,MC,64,2.579181894150698,1.8916500637227835
GSE309750,MC,65,2.904388970805152,1.3976013010064006
GSE309750,MC,66,1.358022749021351,3.541064791150745
GSE309750,MC,67,1.8632095626118597,2.6237052470656335
GSE309750,MC,68,1.800934581392027,2.666703585228739
GSE309750,MC,69,2.0341395970401837,2.4081212620049044
GSE309750,MC,70,2.412874004400313,1.3388060523169099
GSE309750,MC,71,2.5936592785037043,1.8821185696228444
GSE309750,MC,72,1.7101055071247138,3.4248816888207343
GSE309750,MC,73,1.42749128751875,4.169720362589014
GSE309750,MC,74,2.4121140511410313,2.0709260395312232
GSE309750,MC,75,2.388655394278017,2.0364388315870454
GSE309750,MC,76,1.1497545533527804,3.1508504524903125
GSE309750,MC,77,2.326185891099468,2.218723655251987
GSE309750,MC,78,2.6794793330609425,1.7952815759168776
GSE309750,MC,79,1.8435010183175706,1.972262836769003
GSE309750,MC,80,2.6571756997942715,1.8263061212933787
