dataset,contrast,gene,effect,statistic,p_value,q_value,within_contrast_rank
GSE222756,dorDG_FT_vs_Control,Zeb1,-0.23832601748731277,-2.8840082017638697,0.003926485267607336,0.017305329402768067,3000.0
GSE222756,dorDG_FT_vs_Control,Zeb2,-0.3842119341829031,-3.6414089923247848,0.00027114997813378863,0.0018879120647103493,1899.0
GSE222756,dorDG_FT_vs_Control,Zfand2b,0.27509837414141897,2.5624591557815104,0.010393381172734023,0.03782584251744819,3633.0
GSE222756,dorDG_FT_vs_Control,Zfand4,-0.7704613333829546,-2.6267724448355616,0.008619895698291852,0.03249223301643436,3507.0
GSE222756,dorDG_FT_vs_Control,Zfand5,0.5494849391366767,6.319835236575243,2.6184232889437875e-10,9.281713867671517e-09,373.0
GSE222756,dorDG_FT_vs_Control,Zfp131,0.20248225632308284,2.4397799594696727,0.0146962104369911,0.04983670028158408,3899.0
GSE222756,dorDG_FT_vs_Control,Zfp157,-0.2271163357494098,-2.851746010944182,0.004347982684539487,0.01879797420920965,3058.0
GSE222756,dorDG_FT_vs_Control,Zfp192,-0.6878790549052131,-7.218601377586945,5.252497316282556e-13,3.0729433414109713e-11,226.0
GSE222756,dorDG_FT_vs_Control,Zfp217,-2.8907026625377745,-2.9174927183358865,0.0035285788747373035,0.01587440281788929,2939.0
GSE222756,dorDG_FT_vs_Control,Zfp251,-1.0623357188657134,-5.305506460284389,1.1236058834841261e-07,2.271248006099397e-06,654.0
GSE222756,dorDG_FT_vs_Control,Zfp286a,-0.38461186005495573,-2.7833164983910863,0.005380628966104997,0.02224599005310828,3198.0
GSE222756,dorDG_FT_vs_Control,Zfp330,-0.20610379729664338,-2.4623788952414962,0.01380187749785412,0.047411905501851696,3849.0
GSE222756,dorDG_FT_vs_Control,Zfp346,0.3829943541139604,3.3238707373751386,0.0008877733471931776,0.005088053401208581,2307.0
GSE222756,dorDG_FT_vs_Control,Zfp358,0.7128757576502215,3.9736212428386843,7.078809879906359e-05,0.0006109139019415129,1532.0
GSE222756,dorDG_FT_vs_Control,Zfp362,0.6905196698403399,2.7601484562957777,0.005777510066802565,0.02349111252008031,3251.0
GSE222756,dorDG_FT_vs_Control,Zfp365,-0.30176113269283295,-4.882499244685209,1.0474964071375176e-06,1.5792471488223783e-05,877.0
GSE222756,dorDG_FT_vs_Control,Zfp36l1,0.6367806242388653,3.4069244561214576,0.00065699308369077,0.003969571976793349,2187.0
GSE222756,dorDG_FT_vs_Control,Zfp36l2,1.0753872610103503,3.0146816225591953,0.002572491374330514,0.012170193683605703,2794.0
GSE222756,dorDG_FT_vs_Control,Zfp382,-0.48565348734287883,-3.1388853478846435,0.0016959178835454563,0.008664384179380999,2588.0
GSE222756,dorDG_FT_vs_Control,Zfp385a,1.4295227480168569,6.867252914526653,6.544997618703191e-12,3.190488230763695e-10,271.0
