treated,program,vitro,vivo,same_direction,context_difference
Citalopram,exclusive_integration_bias,-0.08557950588275143,0.5817988799421487,False,0.6673783858249002
Citalopram,extent_composite,-1.1751033432987417,-0.4428763326846097,True,0.732227010614132
Citalopram,extent_exclusive,-1.0272524878570968,-0.42675539374487825,True,0.6004970941122185
Citalopram,integration_bias,-0.06797361953534033,0.5085793557530734,False,0.5765529752884138
Citalopram,integration_composite,-1.1943457323171125,-0.38217251613854036,True,0.8121732161785722
Citalopram,integration_exclusive,-1.0916275089093104,-0.2363872599316087,True,0.8552402489777017
Citalopram,neurogenesis,-1.184285902901757,-0.4532899095241565,True,0.7309959933776005
Citalopram,neuron_differentiation,-1.268409302914889,-0.47491384345292165,True,0.7934954594619674
Citalopram,neuron_maturation,-0.6989205043883052,-0.1542698244465088,True,0.5446506799417964
Citalopram,neuronal_survival,-0.4396018729021932,-0.8110091021883922,True,-0.37140722928619896
Citalopram,precursor_proliferation,-1.2952198855278056,-0.2157801230542477,True,1.0794397624735579
Citalopram,projection_development,-1.3736828550135516,-0.4413561851588153,True,0.9323266698547363
Citalopram,synapse_organization,-1.1220101481758937,-0.20578065193636189,True,0.9162294962395319
Citalopram,synaptic_plasticity,-0.7203358507595643,0.10910547410759451,False,0.8294413248671588
Fluoxetine,exclusive_integration_bias,0.3382176655436632,0.8859888469291893,True,0.5477711813855262
Fluoxetine,extent_composite,-1.4592953523402432,-0.4133938617311045,True,1.0459014906091388
Fluoxetine,extent_exclusive,-1.718617535688315,-0.5166136587165082,True,1.2020038769718069
Fluoxetine,integration_bias,0.3941476229673576,0.8932987910196861,True,0.4991511680523285
Fluoxetine,integration_composite,-1.3477613542825193,-0.2336644617706552,True,1.1140968925118642
Fluoxetine,integration_exclusive,-1.355849514311837,0.028840249144635382,False,1.3846897634564723
Fluoxetine,neurogenesis,-1.456783639875009,-0.4200718885015441,True,1.0367117513734647
Fluoxetine,neuron_differentiation,-1.4383758875216193,-0.437973964454465,True,1.0004019230671544
Fluoxetine,neuron_maturation,-0.8413980967720834,-0.2369719000741512,True,0.6044261966979323
Fluoxetine,neuronal_survival,-1.130448013216284,-0.26734218960073813,True,0.8631058236155458
Fluoxetine,precursor_proliferation,-2.330121925036413,-0.6526088646665706,True,1.6775130603698423
Fluoxetine,projection_development,-1.4687366797436578,-0.36836437453227844,True,1.1003723052113794
Fluoxetine,synapse_organization,-1.2060753404353841,-0.20128334150627794,True,1.004791998929106
Fluoxetine,synaptic_plasticity,-0.9933412980590719,0.11098235083303132,False,1.104323648892103
Sertraline,exclusive_integration_bias,-0.7131000168981564,0.9387678995197429,False,1.6518679164178993
Sertraline,extent_composite,-1.5533677621462656,0.008868853757510934,False,1.5622366159037766
Sertraline,extent_exclusive,-1.2835110884706473,0.012808137185501393,False,1.2963192256561487
Sertraline,integration_bias,-0.6732970777088865,1.0181558157421573,False,1.6914528934510438
Sertraline,integration_composite,-1.805161080210066,0.2576990493328646,False,2.0628601295429307
Sertraline,integration_exclusive,-2.068407795941874,0.7448333260839437,False,2.8132411220258176
Sertraline,neurogenesis,-1.5517698448532802,-0.0042575570001294714,True,1.5475122878531506
Sertraline,neuron_differentiation,-1.581173788958716,-0.07788865740196001,True,1.5032851315567561
Sertraline,neuron_maturation,-2.195759601532982,0.31131577950314593,False,2.507075381036128
Sertraline,neuronal_survival,-1.2474142617279036,0.04611277797410322,False,1.2935270397020069
Sertraline,precursor_proliferation,-1.96459954395406,-0.054533259284755026,True,1.910066284669305
Sertraline,projection_development,-1.7086732004484846,-0.012720874347226555,True,1.6959523261012581
Sertraline,synapse_organization,-1.8572096111565166,0.3684795953840718,False,2.225689206540588
Sertraline,synaptic_plasticity,-1.9089244994264327,0.7666570498274534,False,2.675581549253886
