dataset,contrast,context,treated,control,program,measured_genes,n_treated,n_control,score_difference,hedges_g,standard_error,p_value,permutations,role,q_global,q_dataset
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,synaptic_plasticity,179,3,4,-0.05277024648514628,-0.22890599379079468,0.7671851984577573,0.8285714285714286,35,cell_type_map,0.9339556592765462,1.0
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,extent_exclusive,260,3,4,0.03264105542062498,0.09964389183107211,0.7644123388926016,0.9428571428571428,35,cell_type_map,0.9867822318526543,1.0
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,integration_exclusive,253,3,4,-0.0902854920716731,-0.3081663667812898,0.7699545339140821,0.7142857142857143,35,cell_type_map,0.8625,0.9787234042553191
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,integration_bias,1062,3,4,-0.15105116893705683,-1.127861681029012,0.8429356621277168,0.22857142857142856,35,cell_type_map,0.42113662852299216,0.6280602636534839
GSE197622,dorDG_BergGlia_FT_vs_Sham,dorDG:BergGlia,FT,Sham,exclusive_integration_bias,513,3,4,-0.5212885675037667,-1.1051115449811952,0.8399169518579833,0.2,35,cell_type_map,0.3825742574257426,0.6075471698113208
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,extent_composite,1193,3,4,-0.1801231150110783,-1.6078611447784446,0.9175266096534522,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,integration_composite,1116,3,4,-0.17773781636100588,-1.5729062743393916,0.9114476112860003,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,neurogenesis,1176,3,4,-0.1798566120476015,-1.588262390722028,0.9141067090397809,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,neuron_differentiation,939,3,4,-0.1824092886721222,-1.5637819778855413,0.9098762227738975,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,neuron_maturation,43,3,4,-0.5128043883801292,-1.9215490566239837,0.9759961122025976,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,neuronal_survival,166,3,4,-0.10662650921716366,-1.0283140327709135,0.8301062030443401,0.2,35,cell_type_map,0.3825742574257426,0.6075471698113208
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,precursor_proliferation,84,3,4,-0.08638522965664516,-0.5547213375690345,0.7836484604519882,0.42857142857142855,35,cell_type_map,0.6489028213166145,0.8679245283018868
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,projection_development,653,3,4,-0.18188237369227828,-1.6613836843478629,0.9270128952690255,0.05714285714285714,35,cell_type_map,0.15637393767705382,0.39999999999999997
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,synapse_organization,372,3,4,-0.236931137135066,-1.5565292185356288,0.908631748371609,0.08571428571428572,35,cell_type_map,0.21846965699208443,0.42933333333333334
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,synaptic_plasticity,233,3,4,-0.17053782006377022,-1.625134422660231,0.9205647845235302,0.08571428571428572,35,cell_type_map,0.21846965699208443,0.42933333333333334
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,extent_exclusive,437,3,4,-0.15779519530452452,-1.3483231036307217,0.87471758443041,0.14285714285714285,35,cell_type_map,0.30131004366812225,0.4842105263157895
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,integration_exclusive,360,3,4,-0.14562507555206475,-1.2376243108508649,0.8581985357795953,0.14285714285714285,35,cell_type_map,0.30131004366812225,0.4842105263157895
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,integration_bias,1553,3,4,0.013720906624750073,0.07883116819774391,0.7641693324396599,0.8571428571428571,35,cell_type_map,0.9441277080957811,1.0
GSE197622,dorDG_Endothelial_FT_vs_Sham,dorDG:Endothelial,FT,Sham,exclusive_integration_bias,797,3,4,0.059250147590470516,0.11172426572207386,0.7645793382563035,0.8285714285714286,35,cell_type_map,0.9339556592765462,1.0
GSE197622,dorDG_ExcitNeuron_FT_vs_Sham,dorDG:ExcitNeuron,FT,Sham,extent_composite,1207,3,4,-0.15557095163846096,-0.6375923224615638,0.7899276740939808,0.5142857142857142,35,cell_type_map,0.7263157894736841,0.9384808537350912
GSE197622,dorDG_ExcitNeuron_FT_vs_Sham,dorDG:ExcitNeuron,FT,Sham,integration_composite,1147,3,4,-0.14623262318839392,-0.6039018037494497,0.7872757281858226,0.4857142857142857,35,cell_type_map,0.6982142857142857,0.92
GSE197622,dorDG_ExcitNeuron_FT_vs_Sham,dorDG:ExcitNeuron,FT,Sham,neurogenesis,1193,3,4,-0.15379208469599978,-0.626094251666781,0.7890074362959781,0.5142857142857142,35,cell_type_map,0.7263157894736841,0.9384808537350912
GSE197622,dorDG_ExcitNeuron_FT_vs_Sham,dorDG:ExcitNeuron,FT,Sham,neuron_differentiation,960,3,4,-0.15813888595077202,-0.6229999020428735,0.7887624617892742,0.5714285714285714,35,cell_type_map,0.772027972027972,0.9484536082474226
GSE197622,dorDG_ExcitNeuron_FT_vs_Sham,dorDG:ExcitNeuron,FT,Sham,neuron_maturation,42,3,4,-0.3167725725231041,-0.7775208517780178,0.8023635091579718,0.34285714285714286,35,cell_type_map,0.5700516351118761,0.7829787234042553
GSE197622,dorDG_ExcitNeuron_FT_vs_Sham,dorDG:ExcitNeuron,FT,Sham,neuronal_survival,167,3,4,-0.06040430999807827,-0.2659117801252335,0.7683776680866451,0.7714285714285715,35,cell_type_map,0.902179176755448,1.0
GSE197622,dorDG_ExcitNeuron_FT_vs_Sham,dorDG:ExcitNeuron,FT,Sham,precursor_proliferation,84,3,4,-0.17309319443152077,-0.6264304262984297,0.7890341191815323,0.4,35,cell_type_map,0.6222222222222222,0.8586666666666667
GSE197622,dorDG_ExcitNeuron_FT_vs_Sham,dorDG:ExcitNeuron,FT,Sham,projection_development,671,3,4,-0.17206161034106715,-0.7303988336890388,0.7979232914000971,0.34285714285714286,35,cell_type_map,0.5700516351118761,0.7829787234042553
GSE197622,dorDG_ExcitNeuron_FT_vs_Sham,dorDG:ExcitNeuron,FT,Sham,synapse_organization,382,3,4,-0.2154868483774982,-0.8067040707356777,0.8052393924215858,0.2571428571428571,35,cell_type_map,0.4574585635359116,0.673170731707317
GSE197622,dorDG_ExcitNeuron_FT_vs_Sham,dorDG:ExcitNeuron,FT,Sham,synaptic_plasticity,236,3,4,-0.10502745550873915,-0.4526999870224691,0.7770630998563423,0.6285714285714286,35,cell_type_map,0.8128514056224899,0.9708879184861718
GSE197622,dorDG_ExcitNeuron_FT_vs_Sham,dorDG:ExcitNeuron,FT,Sham,extent_exclusive,435,3,4,-0.11016546695691157,-0.416889157815746,0.7750567658718719,0.6571428571428571,35,cell_type_map,0.8318082788671024,0.9708879184861718
GSE197622,dorDG_ExcitNeuron_FT_vs_Sham,dorDG:ExcitNeuron,FT,Sham,integration_exclusive,375,3,4,-0.0743377554552577,-0.28257065895752015,0.7689720092849298,0.7428571428571429,35,cell_type_map,0.8848335388409372,0.9925311203319502
GSE197622,dorDG_ExcitNeuron_FT_vs_Sham,dorDG:ExcitNeuron,FT,Sham,integration_bias,1582,3,4,0.033918408855426685,0.292688926473392,0.7693503844811855,0.6857142857142857,35,cell_type_map,0.8481434058898847,0.9708879184861718
GSE197622,dorDG_ExcitNeuron_FT_vs_Sham,dorDG:ExcitNeuron,FT,Sham,exclusive_integration_bias,810,3,4,0.16018091660399963,0.48216575059048306,0.7788335601639043,0.5428571428571428,35,cell_type_map,0.747008547008547,0.9397849462365591
GSE197622,dorDG_Granule_FT_vs_Sham,dorDG:Granule,FT,Sham,extent_composite,1205,4,4,-0.18551012381059837,-1.4166669217515735,0.816850923118017,0.08571428571428572,70,cell_type_map,0.21846965699208443,0.42933333333333334
GSE197622,dorDG_Granule_FT_vs_Sham,dorDG:Granule,FT,Sham,integration_composite,1138,4,4,-0.20616940180544246,-1.4900477172613833,0.8276594609558058,0.08571428571428572,70,cell_type_map,0.21846965699208443,0.42933333333333334
