context,program,Bupropion,Desipramine,FT,three_drug_direction
BLA,exclusive_integration_bias,3.0826279852579512,2.4989719596859343,-3.3381139002826647,mixed
BLA,extent_composite,-0.7861918400681416,0.0191681429277352,-0.24106436793904154,mixed
BLA,integration_bias,4.141362528569415,1.9877113286772436,-2.8313247024713966,mixed
BLA,integration_composite,-0.23631004024324287,0.08492307930187896,-1.1062589311669513,mixed
CGC,exclusive_integration_bias,0.303188114167692,-0.1869971845686417,-0.30306477451597325,mixed
CGC,extent_composite,-1.9466884930299682,3.8276593593467503,3.397907118524485,mixed
CGC,integration_bias,0.36605945812978985,-0.1609740263870882,-0.22454536155093546,mixed
CGC,integration_composite,-1.8354946479744296,3.589532396184078,3.056243127580876,mixed
ILC,exclusive_integration_bias,0.6446542685184603,0.14273610532013856,-0.20703675847253972,mixed
ILC,extent_composite,3.143719529049068,9.451079781390668,5.776305923105409,positive
ILC,integration_bias,0.6343388331246469,0.10678430549842688,-0.17071394888017002,mixed
ILC,integration_composite,3.6078524330889823,10.054793354038624,5.438493785847852,positive
LConly,exclusive_integration_bias,-0.6768285091992601,0.7577931412538399,0.6401668904722607,mixed
LConly,extent_composite,0.5342602348328339,3.3740731506498514,3.4966584792802853,positive
LConly,integration_bias,-0.5290339435949808,0.6102938403217951,0.5638464687807899,mixed
LConly,integration_composite,0.4973163077985716,3.7332771077966336,4.6117155650129495,positive
NACShell,exclusive_integration_bias,-0.17756772947749724,-0.7306684382555262,-0.9349023809659698,negative
NACShell,extent_composite,4.10337109033636,4.239398300476161,3.1358512277827164,positive
NACShell,integration_bias,-0.11739078068465847,-0.4924283549133893,-0.7150104443321788,negative
NACShell,integration_composite,3.9226474273631604,3.8484523021779276,2.4159969507784442,positive
PLC,exclusive_integration_bias,-0.7657371562449055,-0.0010321432516763479,-0.4644531793772533,negative
PLC,extent_composite,-1.8094848673674515,3.2980669577215074,1.7833013174843193,mixed
PLC,integration_bias,-0.8211363934991059,-0.02301724544403952,-0.41324001066941,negative
PLC,integration_composite,-2.1157667726672647,3.2779675734153217,1.630771986358413,mixed
Raphe,exclusive_integration_bias,-0.804319717591723,-0.5654114506802506,-0.2935288912858396,negative
Raphe,extent_composite,3.590491162659343,4.706067706247586,6.171284949962864,positive
Raphe,integration_bias,-0.6957856670771232,-0.4612527572306994,-0.2469293480604324,negative
Raphe,integration_composite,3.119927483871555,4.316597078717121,5.608780712299733,positive
dorDG,exclusive_integration_bias,-1.0418159758928838,-2.864936215476318,-0.23358352224149775,negative
dorDG,extent_composite,0.2668565169985882,0.4847352172936031,-1.0561190114134311,mixed
dorDG,integration_bias,-0.897523578482902,-3.4075462607262286,-0.591238591686639,negative
dorDG,integration_composite,0.0804591415226769,-0.06364803470247356,-1.2618321278190003,mixed
mPOA,exclusive_integration_bias,-1.9994901956892537,-0.38678689261084004,-0.6671732354824264,negative
mPOA,extent_composite,-0.5112002231146818,2.6507019325382983,1.555856241598526,mixed
mPOA,integration_bias,-2.290859572307239,-0.3148593415961005,-0.5189524506798433,negative
mPOA,integration_composite,-0.7454831306988992,2.452376323814733,1.3752048756710518,mixed
venDG,exclusive_integration_bias,-1.745715194516903,-0.2595238527429105,-0.7606908941658962,negative
venDG,extent_composite,1.4432535090004917,3.094122346895452,2.8050351994778397,positive
venDG,integration_bias,-1.6307927952318892,0.018477822349155713,-0.5393492225146793,mixed
venDG,integration_composite,1.2361553134632517,3.105637875775506,2.5129630659110656,positive
