process,model_ST,model_ST_mean,n_parameters,n_tests,median_abs_g,max_abs_g,median_g,min_q,significant_tests,omics_evidence
activation,0.34072580133307,0.29744923760616776,3,23,0.4453427394683702,1.624331956746197,0.19599033170643,0.7392857142857142,0,0.4453427394683702
activity,0.4839955162663628,0.37304631952796424,3,23,0.4849327306050031,2.94068626985251,0.1462901309074274,0.5914285714285714,0,0.4849327306050031
differentiation,0.300418865337031,0.300418865337031,1,23,0.6424673005754491,1.722778058306513,0.4477864629669871,0.5914285714285714,0,0.6424673005754491
integration,0.3171933387197131,0.2867096141399469,2,23,0.7739414843693737,3.0150072057486264,-0.5398149969004199,0.5914285714285714,0,0.7739414843693737
maturation,0.3555158831126196,0.3267083100373356,2,23,0.4876742176055255,1.794146121769068,-0.1543005466875951,0.5914285714285714,0,0.4876742176055255
proliferation,0.5400924668430155,0.4256006308875322,3,23,0.348825975027304,2.045479489847974,0.0935632345143051,0.5914285714285714,0,0.348825975027304
survival,0.3335743818497282,0.25441149951174263,6,23,0.3459100675070645,1.311438623267854,-0.0128339158320267,0.5914285714285714,0,0.3459100675070645
